symbo;name;sector
600031;SANY HEAVY INDUSTRY LTD A;Industrials
300274;SUNGROW POWER SUPPLY LTD A;Industrials
688041;HYGON INFORMATION TECHNOLOGY LTD A;Information Technology
123;YUEXIU PROPERTY COMPANY LTD;Real Estate
867;CHINA MEDICAL SYSTEM HOLDINGS LTD;Health Care
552;CHINA COMMUNICATIONS SERVICES CORP;Industrials
601390;CHINA RAILWAY GROUP LTD A;Industrials
2357;AVICHINA INDUSTRY & TECHNOLOGY LTD;Industrials
CNH;CNH CASH;Cash and/or Derivatives
600436;ZHANGZHOU PIENTZEHUANG PHARMACEUTI;Health Care
600016;CHINA MINSHENG BANKING CORP LTD A;Financials
601012;LONGI GREEN ENERGY TECHNOLOGY LTD;Information Technology
2607;SHANGHAI PHARMACEUTICALS HOLDING L;Health Care
576;ZHEJIANG EXPRESSWAY LTD H;Industrials
300308;ZHONGJI INNOLIGHT LTD A;Information Technology
600048;POLY DEVELOPMENTS AND HOLDINGS GRO;Real Estate
600905;CHINA THREE GORGES RENEWABLES(GROU;Utilities
1797;EAST BUY HOLDING LTD;Consumer Staples
6818;CHINA EVERBRIGHT BANK LTD H;Financials
601169;BANK OF BEIJING LTD A;Financials
601127;SERES GROUP LTD A;Consumer Discretionary
600886;SDIC POWER HOLDINGS LTD A;Utilities
1199;COSCO SHIPPING PORTS LTD;Industrials
753;AIR CHINA LTD H;Industrials
000625;CHONGQING CHANGAN AUTOMOBILE LTD A;Consumer Discretionary
2669;CHINA OVERSEAS PROPERTY HOLDINGS L;Real Estate
000651;GREE ELECTRIC APPLIANCES INC OF ZH;Consumer Discretionary
1776;GF SECURITIES LTD H;Financials
603501;WILL SEMICONDUCTOR SHANGHAI LTD A;Information Technology
600989;NINGXIA BAOFENG ENERGY GROUP LTD A;Materials
688111;BEIJING KINGSOFT OFFICE SOFTWARE I;Information Technology
1880;CHINA TOURISM GROUP DUTY FREE CLAS;Consumer Discretionary
600104;SAIC MOTOR CORP LTD A;Consumer Discretionary
1359;CHINA CINDA ASSET MANAGEMENT LTD H;Financials
601006;DAQIN RAILWAY LTD A;Industrials
688036;SHENZHEN TRANSSION HOLDINGS LTD A;Information Technology
300015;AIER EYE HOSPITAL GROUP LTD A;Health Care
601600;ALUMINUM CORPORATION OF CHINA LTD;Materials
631;SANY HEAVY EQUIPMENT INTERNATIONAL;Industrials
000596;ANHUI GUJING DISTILLERY LTD A;Consumer Staples
002493;RONGSHENG PETRO CHEMICAL LTD A;Materials
000338;WEICHAI POWER LTD A;Industrials
601229;BANK OF SHANGHAI LTD A;Financials
601009;BANK OF NANJING LTD A;Financials
000063;ZTE CORP A;Information Technology
603259;WUXI APPTEC LTD A;Health Care
000166;SHENWAN HONGYUAN GROUP LTD A;Financials
600999;CHINA MERCHANTS SECURITIES LTD A;Financials
600547;SHANDONG GOLD-MINING LTD A;Materials
489;DONGFENG MOTOR GROUP LTD H;Consumer Discretionary
601211;GUOTAI JUNAN SECURITIES LTD A;Financials
688271;SHANGHAI UNITED IMAGING HEALTHCARE;Health Care
000538;YUNNAN BAIYAO GROUP LTD A;Health Care
600346;HENGLI PETROCHEMICAL LTD A;Materials
6865;FLAT GLASS GROUP LTD H;Information Technology
600438;TONGWEI LTD A;Information Technology
600585;ANHUI CONCH CEMENT LTD A;Materials
601688;HUATAI SECURITIES LTD A;Financials
600188;YANKUANG ENERGY GROUP LTD A;Energy
002230;IFLYTEK LTD A;Information Technology
000792;QINGHAI SALT LAKE INDUSTRY LTD A;Materials
600795;GD POWER DEVELOPMENT LTD A;Utilities
002311;GUANGDONG HAID GROUP LTD A;Consumer Staples
600660;FUYAO GLASS INDUSTRY GROUP LTD A;Consumer Discretionary
600893;AECC AVIATION POWER LTD A;Industrials
601066;CHINA SECURITIES LTD A;Financials
002027;FOCUS MEDIA INFORMATION TECHNOLOGY;Communication
600015;HUA XIA BANK LTD A;Financials
601111;AIR CHINA LTD A;Industrials
600926;BANK OF HANGZHOU LTD A;Financials
601628;CHINA LIFE INSURANCE LTD A;Financials
2007;COUNTRY GARDEN HOLDINGS LTD;Real Estate
000425;XCMG CONSTRUCTION MACHINERY LTD A;Industrials
600837;HAITONG SECURITIES LTD CLASS A;Financials
601669;POWER CONSTRUCTION CORPORATION OF;Industrials
001979;CHINA MERCHANTS SHEKOU INDUSTRIAL;Real Estate
000895;HENAN SHUANGHUI INVESTMENT & DEVEL;Consumer Staples
000100;TCL TECHNOLOGY GROUP CORP A;Information Technology
600011;HUANENG POWER INTERNATIONAL INC A;Utilities
600674;SICHUAN CHUANTOU ENERGY LTD A;Utilities
000002;CHINA VANKE LTD A;Real Estate
300433;LENS TECHNOLOGY LTD A;Information Technology
300122;CHONGQING ZHIFEI BIOLOGICAL PRODUC;Health Care
601825;SHANGHAI RURAL COMMERCIAL BANK LTD;Financials
300124;SHENZHEN INOVANCE TECHNOLOGY LTD A;Industrials
601995;CHINA INTERNATIONAL CAPITAL CORP L;Financials
601872;CHINA MERCHANTS ENERGY SHIPPING LT;Energy
000776;GF SECURITIES LTD A;Financials
600089;TBEA LTD A;Industrials
2196;SHANGHAI FOSUN PHARMACEUTICAL (GRO;Health Care
600023;ZHEJIANG ZHENENG ELECTRIC POWER LT;Utilities
600111;CHINA NORTHERN RARE EARTH (GROUP);Materials
300014;EVE ENERGY LTD A;Industrials
603369;JIANGSU KINGS LUCK BREWERY LTD A;Consumer Staples
688012;ADVANCED MICRO-FABRICATION EQUIPME;Information Technology
601881;CHINA GALAXY SECURITIES LTD A;Financials
600845;SHANGHAI BAOSIGHT SOFTWARE LTD A;Information Technology
600029;CHINA SOUTHERN AIRLINES LTD A;Industrials
002648;SATELLITE CHEMICAL LTD A;Materials
601336;NEW CHINA LIFE INSURANCE LTD A;Financials
600489;ZHONGJIN GOLD CORP LTD A;Materials
000157;ZOOMLION HEAVY INDUSTRY SCIENCE AN;Industrials
601100;JIANGSU HENGLI HYDRAULIC LTD A;Industrials
601633;GREAT WALL MOTOR LTD A;Consumer Discretionary
003816;CGN POWER LTD A;Utilities
601901;FOUNDER SECURITIES LTD A;Financials
688256;CAMBRICON TECHNOLOGIES CORPORATION;Information Technology
600115;CHINA EASTERN AIRLINES CORP LTD A;Industrials
601868;CHINA ENERGY ENGINEERING CORP LTD;Industrials
600010;INNER MONGOLIA BAOTOU STEEL UNION;Materials
601939;CHINA CONSTRUCTION BANK CORP A;Financials
601689;NINGBO TUOPU GROUP CLS LTD A;Consumer Discretionary
000301;JIANGSU EASTERN SHENGHONG LTD A;Materials
688223;JINKO SOLAR LTD A;Information Technology
000999;CHINA RESOURCES SANJIU MEDICAL AND;Health Care
601916;CHINA ZHESHANG BANK LTD A;Financials
601699;SHANXI LUAN ENVIRONMENTAL ENERGY D;Energy
000983;SHANXI COKING COAL ENERGY GROUP LT;Energy
601838;BANK OF CHENGDU LTD A;Financials
300033;HITHINK ROYALFLUSH INFORMATION NET;Financials
300502;EOPTOLINK TECHNOLOGY INC LTD A;Information Technology
688008;MONTAGE TECHNOLOGY LTD A;Information Technology
600085;BEIJING TONGRENTANG LTD A;Health Care
600160;ZHEJIANG JU HUA LTD A;Materials
600703;SANAN OPTOELECTRONICS LTD A;Information Technology
300832;SHENZHEN NEW INDUSTRIES BIOMEDICAL;Health Care
601788;EVERBRIGHT SECURITIES LTD A;Financials
601618;METALLURGICAL CORP OF CHINA LTD A;Industrials
002241;GOERTEK INC A;Information Technology
002460;GANFENG LITHIUM GROUP LTD A;Materials
002463;WUS PRINTED CIRCUIT (KUNSHAN) LTD;Information Technology
000938;UNISPLENDOUR CORP LTD A;Information Technology
002001;ZHEJIANG NHU LTD A;Health Care
603195;GONEO GROUP LTD A;Industrials
600027;HUADIAN POWER INTERNATIONAL CORP L;Utilities
600958;ORIENT SECURITIES LTD A;Financials
002128;INNER MONGOLIA DIAN TOU ENERGY COR;Energy
600256;GUANGHUI ENERGY LTD A;Energy
600233;YTO EXPRESS GROUP LTD A;Industrials
600522;JIANGSU ZHONGTIAN TECHNOLOGY LTD A;Industrials
601360;360 SECURITY TECHNOLOGY INC A;Information Technology
600221;HAINAN AIRLINES HOLDING LTD A;Industrials
600026;COSCO SHIPPING ENERGY TRANSPORTATI;Energy
603392;BEIJING WANTAI BIOLOGICAL PHARMACY;Health Care
300408;CHAOZHOU THREE-CIRCLE (GROUP) LTD;Information Technology
002236;ZHEJIANG DAHUA TECHNOLOGY LTD A;Information Technology
601607;SHANGHAI PHARMACEUTICALS HOLDING L;Health Care
000977;INSPUR ELECTRONIC INFORMATION INDU;Information Technology
300394;SUZHOU TFC OPTICAL COMMUNICATION L;Information Technology
002938;AVARY HOLDING (SHENZHEN) LTD A;Information Technology
002736;GUOSEN SECURITIES LTD A;Financials
600039;SICHUAN ROAD & BRIDGE LTD A;Industrials
600426;SHANDONG HUALU-HENGSHENG CHEMICAL;Materials
600066;YUTONG BUS LTD A;Industrials
300896;IMEIK TECHNOLOGY DEVELOPMENT LTD A;Health Care
600600;TSINGTAO BREWERY LTD A;Consumer Staples
600176;CHINA JUSHI LTD A;Materials
603799;ZHEJIANG HUAYOU COBALT LTD A;Materials
601021;SPRING AIRLINES LTD A;Industrials
601727;SHANGHAI ELECTRIC GROUP LTD A;Industrials
601117;CHINA NATIONAL CHEMICAL ENGINEERIN;Industrials
603986;GIGADEVICE SEMICONDUCTOR INC A;Information Technology
002920;HUIZHOU DESAY SV AUTOMOTIVE LTD A;Consumer Discretionary
600985;HUAIBEI MINING HOLDINGS LTD A;Materials
600183;SHENGYI TECHNOLOGY LTD A;Information Technology
002466;TIANQI LITHIUM INDUSTRIES CORP A;Materials
601058;SAILUN GROUP LTD A;Consumer Discretionary
601319;THE PEOPLES INSURANCE COMPANY (GRO;Financials
605499;EASTROC BEVERAGE (GROUP) LTD A;Consumer Staples
600362;JIANGXI COPPER LTD A;Materials
000786;BEIJING NEW BUILDING MATERIALS PUB;Industrials
000933;HENAN SHENHUO COAL & POWER LTD A;Materials
600741;HUAYU AUTOMOTIVE SYSTEMS LTD A;Consumer Discretionary
000963;HUADONG MEDICINE LTD A;Health Care
002459;JA SOLAR TECHNOLOGY LTD A;Information Technology
688169;BEIJING ROBOROCK TECHNOLOGY LTD A;Consumer Discretionary
600875;DONGFANG ELECTRIC CORP LTD A;Industrials
000630;TONGLING NONFERROUS METALS GROUP L;Materials
002028;SIEYUAN ELECTRIC LTD A;Industrials
000975;YINTAI GOLD LTD A;Materials
688187;ZHUZHOU CRRC TIMES ELECTRIC LTD A;Industrials
000807;YUNNAN ALUMINIUM LTD A;Materials
