symbol;name;sector
LMP;LONDONMETRIC PROPERTY REIT PLC;Real Estate
INDU C;INDUSTRIVARDEN SERIES;Financials
HELN;HELVETIA HOLDING AG;Financials
HL.;HARGREAVES LANSDOWN PLC;Financials
ZEAL;ZEALAND PHARMA;Health Care
AMP;AMPLIFON;Health Care
DNP;DINO POLSKA SA;Consumer Staples
CAST;CASTELLUM;Real Estate
AMUN;AMUNDI SA;Financials
NTGY;NATURGY ENERGY SA;Utilities
BPE;BPER BANCA;Financials
BRBY;BURBERRY GROUP PLC;Consumer Discretionary
WDP;WAREHOUSES DE PAUW NV;Real Estate
SDR;SCHRODERS PLC;Financials
AALB;AALBERTS NV;Industrials
SALM;SALMAR;Consumer Staples
BLND;BRITISH LAND REIT PLC;Real Estate
LOTB;LOTUS BAKERIES NV;Consumer Staples
YAR;YARA INTERNATIONAL;Materials
SCR;SCOR;Financials
RILBA;RINGKJOBING LANDBOBANK;Financials
TLX;TALANX AG;Financials
DIE;DIETEREN (D) SA;Consumer Discretionary
BALD B;FASTIGHETS BALDER CLASS B;Real Estate
NKT;NKT;Industrials
DEMANT;DEMANT;Health Care
EVK;EVONIK INDUSTRIES AG;Materials
STB;STOREBRAND;Financials
GN;GN STORE NORD;Consumer Discretionary
BEAN;BELIMO N AG;Industrials
BC8;BECHTLE AG;Information Technology
EDPR;EDP RENOVAVEIS SA;Utilities
IPN;IPSEN SA;Health Care
ORNBV;ORION CLASS B;Health Care
BOL;BOLLORE;Communication
SXS;SPECTRIS PLC;Information Technology
ELIS;ELIS SA;Industrials
BBOX;TRITAX BIG BOX REIT PLC;Real Estate
TECN;TECAN GROUP AG;Health Care
RF;EURAZEO;Financials
AVOL;AVOLTA AG;Consumer Discretionary
INCH;INCHCAPE PLC;Consumer Discretionary
RAA;RATIONAL AG;Industrials
VALMT;VALMET;Industrials
RS1;RS GROUP PLC;Industrials
SPL;SANTANDER BANK POLSKA SA;Financials
EMG;MAN GROUP PLC;Financials
KCR;KONECRANES;Industrials
LATO B;LATOUR INVESTMENT CLASS B;Industrials
ATE;ALTEN SA;Information Technology
BMPS;BANCA MONTE DEI PASCHI DI SIENA SP;Financials
UMI;UMICORE SA;Materials
IGG;IG GROUP HOLDINGS PLC;Financials
FRO;FRONTLINE;Energy
CLN;CLARIANT AG;Materials
WIE;WIENERBERGER AG;Materials
GETI B;GETINGE B;Health Care
TEMN;TEMENOS AG;Information Technology
ANDR;ANDRITZ AG;Industrials
BWY;BELLWAY PLC;Consumer Discretionary
GRG;GREGGS PLC;Consumer Discretionary
UNI;UNIPOL GRUPPO FINANZIARIO;Financials
AM;DASSAULT AVIATION SA;Industrials
OCI;OCI NV;Materials
LHA;DEUTSCHE LUFTHANSA AG;Industrials
FDJ;LA FRANCAISE DES JEUX SA;Consumer Discretionary
HIK;HIKMA PHARMACEUTICALS PLC;Health Care
SUBC;SUBSEA SA;Energy
NEX;NEXANS SA;Industrials
GAW;GAMES WORKSHOP GROUP PLC;Consumer Discretionary
JMAT;JOHNSON MATTHEY PLC;Materials
SFZN;SIEGFRIED HOLDING AG;Health Care
JD.;JD SPORTS FASHION PLC;Consumer Discretionary
ACKB;ACKERMANS & VAN HAAREN NV;Industrials
INVP;INVESTEC PLC;Financials
DLG;DIRECT LINE INSURANCE PLC;Financials
BZU;BUZZI;Materials
SSAB B;SSAB CLASS B;Materials
FHZN;FLUGHAFEN ZUERICH AG;Industrials
ACLN;ACCELLERON N AG;Industrials
GALE;GALENICA AG;Health Care
SK;SEB SA;Consumer Discretionary
NEXI;NEXI;Financials
LIGHT;SIGNIFY NV;Industrials
GL9;GLANBIA PLC;Consumer Staples
ABDN;ABRDN PLC;Financials
HUH1V;HUHTAMAKI;Materials
IP;INTERPUMP GROUP;Industrials
HOLM B;HOLMEN CLASS B;Materials
UTG;UNITE GROUP PLC;Real Estate
LUND B;LUNDBERGFORETAGEN CLASS B;Financials
SOP;SOPRA STERIA GROUP;Information Technology
MRL;MERLIN PROPERTIES REIT SA;Real Estate
ADE;ADEVINTA;Communication
GXI;GERRESHEIMER AG;Health Care
INW;INFRASTRUTTURE WIRELESS ITALIANE;Communication
ROR;ROTORK PLC;Industrials
SOF;SOFINA SA;Financials
CGCBV;CARGOTEC CORP CLASS B;Industrials
ROCK B;ROCKWOOL INTERNATIONAL B;Industrials
ELI;ELIA GROUP SA;Utilities
JYSK;JYSKE BANK;Financials
AFX;CARL ZEISS MEDITEC AG;Health Care
FNOX;FORTNOX;Information Technology
TATE;TATE AND LYLE PLC;Consumer Staples
STJ;ST JAMESS PLACE PLC;Financials
VOE;VOESTALPINE AG;Materials
ANA;ACCIONA SA;Utilities
TE;TECHNIP ENERGIES NV;Energy
SQN;SWISSQUOTE GROUP HOLDING SA;Financials
KGX;KION GROUP AG;Industrials
BYG;BIG YELLOW GROUP PLC;Real Estate
ITV;ITV PLC;Communication
BC;BRUNELLO CUCINELLI;Consumer Discretionary
LAGR B;LAGERCRANTZ GROUP CLASS B;Information Technology
RBREW;ROYAL UNIBREW;Consumer Staples
CDI;CHRISTIAN DIOR;Consumer Discretionary
RUI;RUBIS;Utilities
INPST;INPOST SA;Industrials
HER;HERA;Utilities
AMBU B;AMBU CLASS B;Health Care
HUSQ B;HUSQVARNA;Industrials
AED;AEDIFICA NV;Real Estate
BVIC;BRITVIC PLC;Consumer Staples
GRF;GRIFOLS SA CLASS A;Health Care
FPE3;FUCHS PREF;Materials
VRLA;VERALLIA SA;Materials
REY;REPLY;Information Technology
SOI;SOITEC SA;Information Technology
TIGO SDB;MILLICOM INTERNATIONAL CELLULAR SD;Communication
VMUK;VIRGIN MONEY UK PLC;Financials
GJF;GJENSIDIGE FORSIKRING;Financials
VID;VIDRALA SA;Materials
TUI;TUI N AG;Consumer Discretionary
ENG;ENAGAS SA;Utilities
TIT;TELECOM ITALIA;Communication
ADP;AEROPORTS DE PARIS SA;Industrials
CWK;CRANSWICK PLC;Consumer Staples
AZA;AVANZA BANK HOLDING;Financials
A2A;A2A;Utilities
SECT B;SECTRA CLASS B;Health Care
SYDB;SYDBANK;Financials
VK;VALLOUREC SA;Energy
WLN;WORLDLINE SA;Financials
COV;COVIVIO SA;Real Estate
TOM;TOMRA SYSTEMS;Industrials
SDF;K S N AG;Materials
BANB;BACHEM HOLDING AG;Health Care
AZM;AZIMUT HOLDING;Financials
BOSS;HUGO BOSS N AG;Consumer Discretionary
AIXA;AIXTRON;Information Technology
HPOL B;HEXPOL CLASS B;Materials
BCP;BANCO COMERCIAL PORTUGUES SA;Financials
BKW;BKW N AG;Utilities
QQ.;QINETIQ GROUP PLC;Industrials
JDEP;JDE PEETS NV;Consumer Staples
THULE;THULE GROUP;Consumer Discretionary
IDS;INTERNATIONAL DISTRIBUTION SERVICE;Industrials
BBY;BALFOUR BEATTY PLC;Industrials
IG;ITALGAS;Utilities
OCDO;OCADO GROUP PLC;Consumer Staples
DLN;DERWENT LONDON REIT PLC;Real Estate
COTN;COMET HOLDING AG;Information Technology
FR;VALEO;Consumer Discretionary
EKTA B;ELEKTA B;Health Care
FNTN;FREENET AG;Communication
BPSO;BANCA POPOLARE DI SONDRIO;Financials
SCT;SOFTCAT PLC;Information Technology
IPS;IPSOS SA;Communication
BCVN;BC VAUD N;Financials
NGPN;NATIONAL GRID NILL PAID RIGHTS PLC;Utilities
CCC;COMPUTACENTER PLC;Information Technology
ISS;ISS A S;Industrials
AZE;AZELIS GROUP NV;Industrials
IFCN;INFICON HOLDING AG;Information Technology
AXFO;AXFOOD;Consumer Staples
LXS;LANXESS AG;Materials
SRP;SERCO GROUP PLC;Industrials
TKWY;JUST EAT TAKEAWAY.COM NV;Consumer Discretionary
GFTU;GRAFTON GROUP PLC;Industrials
SWEC B;SWECO CLASS B;Industrials
SAFE;SAFESTORE HOLDINGS PLC;Real Estate
TEG;TAG IMMOBILIEN AG;Real Estate
KINV B;KINNEVIK CLASS B;Financials
BUCN;BUCHER INDUSTRIES AG;Industrials
DIA;DIASORIN;Health Care
BAKKA;BAKKAFROST;Consumer Staples
MF;WENDEL;Financials
VIS;VISCOFAN SA;Consumer Staples
FRVIA;FORVIA;Consumer Discretionary
TKA;THYSSENKRUPP AG;Materials
SAVE;NORDNET;Financials
SFSN;SFS GROUP AG;Industrials
IVG;IVECO GROUP NV;Industrials
NDA;AURUBIS AG;Materials
DRX;DRAX GROUP PLC;Utilities
CDR;CD PROJEKT SA;Communication
ALLN;ALLREAL HOLDING AG;Real Estate
UBI;UBISOFT ENTERTAINMENT SA CAT A;Communication
RBI;RAIFFEISEN BANK INTERNATIONAL AG;Financials
HEM;HEMNET GROUP;Communication
WIHL;WIHLBORGS FASTIGHETER;Real Estate
WALLB;WALLENSTAM B;Real Estate
ALLFG;ALLFUNDS GROUP PLC;Financials
TPK;TRAVIS PERKINS PLC;Industrials
TIETO;TIETO;Information Technology
INDV;INDIVIOR PLC;Health Care
ELUX B;ELECTROLUX CLASS B;Consumer Discretionary
DKSH;DKSH HOLDING AG;Industrials
WCH;WACKER CHEMIE AG;Materials
CMBN;CEMBRA MONEY BANK AG;Financials
FABG;FABEGE;Real Estate
COFB;COFINIMMO REIT SA;Real Estate
EZJ;EASYJET PLC;Industrials
HOT;HOCHTIEF AG;Industrials
HAS;HAYS PLC;Industrials
SESG;SES SA FDR;Communication
RCO;REMY COINTREAU SA;Consumer Staples
PNN;PENNON GROUP PLC;Utilities
VOLCAR B;VOLVO CAR CLASS B;Consumer Discretionary
KOJAMO;KOJAMO;Real Estate
TOP;TOPDANMARK;Financials
GBP;GBP CASH;Cash and/or Derivatives
SMWH;WH SMITH PLC;Consumer Discretionary
SSPG;SSP GROUP PLC;Consumer Discretionary
TMV;TEAMVIEWER;Information Technology
EVT;EVOTEC;Health Care
NOK;NOK CASH;Cash and/or Derivatives
HFG;HELLOFRESH;Consumer Staples
PLN;PLN CASH;Cash and/or Derivatives
GBP;GBP/EUR;Cash and/or Derivatives
SEK;SEK/EUR;Cash and/or Derivatives
CZK;CZK CASH;Cash and/or Derivatives
VIS.D;DERECHOS VISCOFAN, S.A. SA;Consumer Staples
DKK;DKK/EUR;Cash and/or Derivatives
-;ESSILORLUXOTTICA SA COUPON;Health Care
MARGIN_EUR;FUTURES EUR MARGIN BALANCE;Cash and/or Derivatives
-;LEG IMMOBILIEN COUPON;Real Estate
SXOM4;STOXX EUROPE 600 JUN 24;Cash and/or Derivatives
-;VONOVIA COUPON RIGHT;Real Estate
CHF;CHF/EUR;Cash and/or Derivatives
SEK;SEK CASH;Cash and/or Derivatives
DKK;DKK CASH;Cash and/or Derivatives
CHF;CHF CASH;Cash and/or Derivatives
